Weekly Summary;;;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity;;
Friday;2026-03-06;;2556;71;366;64;4;58;;;
Saturday;2026-03-07;;3904;149;359;127;4;39;52m run 11.6km/h;;
Sunday;2026-03-08;;2901;89;211;130;7;40;60m powertraining;;
Monday;2026-03-09;;2190;110;191;122;2;50;52m run 11.6km/h;;
Tuesday;2026-03-10;;2303;84;308;86;4;78;50m powertraining;;
Wednesday;2026-03-11;;2310;132;247;59;5;47;;;
Thursday;2026-03-12;;1842;74;234;67;4;42;52m run 11.6km/h;;
;;Daily Average:;2572;101;274;94;4;51;;;
;;Adjusted For Underreporting(110%):;2829;111;301;103;5;56;;;
;;Calculated weight diff:;0.21;;;;;;;;
;;Weight Diff:;1.19999999999999;;;;;;;;
Detailed List;;;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour;;
Friday;;;;;;;;;;;
wortelsoep_count;2026-03-06;1x;252;14;26;2;1;10;8;;
banaan;2026-03-06;1x;105;0;27;1;0;3;8;;
rijstkoek;2026-03-06;7.7;30;0;0;1;0;0;12;;
mango;2026-03-06;1x;135;1;35;1;0;4;12;;
wortelsoep_count;2026-03-06;1x;252;14;26;2;1;10;15;;
gnocchi_zalm;2026-03-06;1x;850;34;60;46;2;4;19;;
vijg_count;2026-03-06;1x;37;0;10;0;0;1;19;;
dadel_count;2026-03-06;4x;264;0;72;2;0;6;19;;
pompelmoes_count;2026-03-06;1x;97;0;25;2;0;4;19;;
bosbes_count;2026-03-06;110x;110;0;22;1;0;6;19;;
appel;2026-03-06;1x;95;0;25;1;0;4;21;;
banaan;2026-03-06;1x;105;0;27;1;0;3;21;;
kiwi;2026-03-06;1x;42;0;10;1;0;2;22;;
rijstkoek;2026-03-06;30.8;119;1;0;2;0;1;22;;
notenmix;2026-03-06;10;62;6;2;2;0;1;22;;
Saturday;;;;;;;;;;;
proteine;2026-03-07;90;338;1;3;68;1;7;8;;
erythritol;2026-03-07;10;2;0;10;0;0;0;8;;
cacao;2026-03-07;11;36;1;2;3;0;3;8;;
banaan;2026-03-07;2x;210;1;54;3;0;6;12;;
duvel;2026-03-07;1x;211;0;12;0;0;0;16;;
