Weekly Summary;;;;;;;;;
Day;Date;;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Activity
Friday;2026-03-27;;2706;46;364;48;5;34;28m bike
Saturday;2026-03-28;;2675;32;371;94;2;64;51m run 11.8km/h
Sunday;2026-03-29;;3177;16;407;104;1;91;40m powertraining
Monday;2026-03-30;;2630;15;524;76;1;88;30m powertraining
Tuesday;2026-03-31;;2039;16;396;61;2;66;50m powertraining
Wednesday;2026-04-01;;1953;12;369;63;1;71;51m run 11.8km/h
Thursday;2026-04-02;;1465;13;285;53;1;51;
;;Daily Average:;2378;22;388;71;2;67;
;;Adjusted For Underreporting(110%):;2616;24;427;78;2;73;
;;Calculated weight diff:;0.01;;;;;;
;;Weight Diff:;-0.899999999999992;;;;;;
Detailed List;;;;;;;;;
Name;Date;Quantity;KiloCalories;Fat;Carbohydrate;Protein;Salt;Fibre;Hour
Friday;;;;;;;;;
appel;2026-03-27;1x;95;0;25;1;0;4;10
americano;2026-03-27;1x;602;30;49;31;3;6;12
soep;2026-03-27;1x;80;12;2;1;2;1;12
carslberg50cl;2026-03-27;1x;210;0;17;2;0;0;17
carslberg50cl;2026-03-27;1x;210;0;17;2;0;0;17
groenedruiven;2026-03-27;500;345;1;90;4;0;5;18
appel;2026-03-27;1x;95;0;25;1;0;4;18
duvel;2026-03-27;1x;211;0;12;0;0;0;19
delirium;2026-03-27;1x;208;0;12;0;0;0;20
duvel;2026-03-27;0.5x;106;0;6;0;0;0;21
mandarijn;2026-03-27;1x;50;0;13;1;0;2;22
banaan;2026-03-27;3x;315;1;81;4;0;9;22
nectarine_count;2026-03-27;1x;60;0;15;1;0;2;22
rijstkoek;2026-03-27;30.8;119;1;0;2;0;1;22
Thursday;;;;;;;;;
proteine;2026-03-28;50;188;1;2;38;0;4;14
appel;2026-03-28;1x;95;0;25;1;0;4;16
kikkererwten;2026-03-28;220;308;6;39;17;0;16;17
pruim_count;2026-03-28;1x;30;0;8;1;0;1;19
appel;2026-03-28;1x;95;0;25;1;0;4;19
banaan;2026-03-28;1x;105;0;27;1;0;3;19
appel;2026-03-28;1x;95;0;25;1;0;4;19
rijstkoek;2026-03-28;23.1;89;1;0;2;0;1;19
parmigiano;2026-03-28;20;80;6;0;6;0;0;19
omer;2026-03-28;1x;211;0;12;0;0;0;20
appel;2026-03-28;2x;190;1;50;1;0;9;20
rijstkoek;2026-03-28;15.4;60;0;0;1;0;0;20
